table_name,column_names,rls_policies,triggers
ab_experiments,"id, name, variant_a, variant_b, status, created_at",Admins manage experiments (ALL),No Triggers
achievements,"id, name, description, badge_icon, condition_type, condition_value, points, created_at",Only admins can manage achievements (ALL) | Achievements viewable by everyone (SELECT),No Triggers
activity_log,"id, user_id, action_type, book_id, metadata, created_at",Admins can view all activity (SELECT) | Users can view own activity (SELECT) | Users can insert own activity (INSERT),No Triggers
ai_recommendations,"id, user_id, book_id, reason, confidence_score, algorithm, was_accepted, created_at, interacted_at",AI recommendations private to user (ALL),No Triggers
announcements,"id, title, content, type, is_active, starts_at, ends_at, target_audience, created_by, created_at, updated_at",Admins can manage announcements (ALL) | Everyone can view active announcements (SELECT),No Triggers
author_qa_sessions,"id, author_name, title, description, scheduled_at, created_at",No Policies (Public or Restricted),No Triggers
badges,"id, name, description, icon_url, criteria, created_at",Everyone views badges (SELECT),No Triggers
book_club_books,"id, club_id, book_id, start_date, end_date, is_current, added_at",No Policies (Public or Restricted),No Triggers
book_club_members,"club_id, user_id, role, joined_at",No Policies (Public or Restricted),club_member_count_trigger
book_clubs,"id, name, description, creator_id, cover_image, is_public, member_count, created_at, updated_at, is_private",Anyone can view public clubs (SELECT) | Users can create clubs (INSERT) | Public clubs viewable by everyone (SELECT) | Members can view their clubs (SELECT) | Creators can update clubs (UPDATE),No Triggers
book_lists,"id, user_id, name, description, is_public, created_at, updated_at",Users can view public lists and own lists (SELECT) | Users can manage own lists (ALL),update_book_lists_updated_at
book_quotes,"id, book_id, user_id, quote_text, page_number, is_public, created_at",No Policies (Public or Restricted),No Triggers
book_series,"id, name, description, total_books, created_at",No Policies (Public or Restricted),No Triggers
book_tags,"book_id, tag_id, created_at",Book tags viewable by everyone (SELECT),tag_usage_count_trigger
bookmarks,"id, user_id, book_id, page_number, label, created_at",Users can insert own bookmarks (INSERT) | Users can manage own bookmarks (ALL) | Users can view own bookmarks (SELECT) | Users can delete own bookmarks (DELETE),No Triggers
books,"id, title, author, genre, description, release_date, cover_url, isbn, pages, publisher, language, is_featured, created_at, updated_at, pdf_url, epub_url, format, file_size_mb, download_count, view_count, series_id, series_position, file_size, series, series_order, academic_subject, is_textbook, edition, total_pages",Books are viewable by everyone (SELECT) | Only admins can update books (UPDATE) | Only admins can insert books (INSERT) | Only admins can delete books (DELETE),update_books_updated_at
challenge_participants,"id, challenge_id, user_id, books_completed, joined_at",No Policies (Public or Restricted),No Triggers
club_members,"id, club_id, user_id, role, joined_at",Anyone can view club members (SELECT) | Users can leave clubs (DELETE) | Users can join clubs (INSERT),No Triggers
collection_items,"id, collection_id, book_id, added_at, position",Collection items viewable if collection is (SELECT) | Users can manage own collection items (ALL),collection_items_update_parent
collections,"id, user_id, name, description, is_public, cover_image, created_at, updated_at",Public collections viewable by all (SELECT) | Users can view own collections (SELECT) | Users can update own collections (UPDATE) | Users can insert own collections (INSERT) | Users can delete own collections (DELETE),No Triggers
comment_likes,"id, comment_id, user_id, created_at",Users can manage own comment likes (ALL) | Anyone can view comment likes (SELECT),No Triggers
